"name","labels"
"MHENTPT","""End Reference Time Point"""
"MHGRPID","""Group ID"""
"MHHLGT","""High Level Group Term"""
"MHHLGTCD","""High Level Group Term Code"""
"MHHLT","""High Level Term"""
"MHHLTCD","""High Level Term Code"""
"MHLLT","""Lowest Level Term"""
"MHLLTCD","""Lowest Level Term Code"""
"MHMODIFY","""Modified Reported Term"""
"MHOCCUR","""Medical History Occurrence"""
"MHPRESP","""Medical History Event Pre-Specified"""
"MHPTCD","""Preferred Term Code"""
"MHREASND","""Reason Medical History Not Collected"""
"MHSEQ","""Sequence Number"""
"MHSOC","""Primary System Organ Class"""
"MHSOCCD","""Primary System Organ Class Code"""
"MHSPID","""Sponsor-Defined Identifier"""
"MHSTDTC","""Start Date/Time of Medical History Event"""
"MHSTDY","""Study Day of Start of Observation"""
"MHSTRTPT","""Start Relative to Reference Time Point"""
"MHSTTPT","""Start Reference Time Point"""
"MHTERM","""Reported Term for the Medical History"""
"RACE","""Race"""
"SAFFL","""Safety Population Flag"""
"SEX","""Sex"""
"SITEID","""Study Site Identifier"""
"STUDYID","""Study Identifier"""
"SUBJID","""Subject Identifier for the Study"""
"TRT01A","""Actual Treatment for Period 01"""
"TRT01P","""Planned Treatment for Period 01"""
"TRTEDT","""Date of Last Exposure to Treatment"""
"TRTEDTM","""Datetime of Last Exposure to Treatment"""
"TRTSDT","""Date of First Exposure to Treatment"""
"TRTSDTM","""Datetime of First Exposure to Treatment"""
"USUBJID","""Unique Subject Identifier"""
"VISIT","""Visit Name"""
"VISITDY","""Planned Study Day of Visit"""
"VISITNUM","""Visit Number"""
"AAGE","""Analysis Age"""
"AAGEU","""Analysis Age Unit"""
"ACTARM","""Description of Actual Arm"""
"ACTARMCD","""Actual Arm Code"""
"ADTHAUT","""Autopsy Performed"""
"AEWITHFL","""AE Leading to Drug Withdrawal Flag"""
"AGE","""Age"""
"AGEGR1","""Pooled Age Group 1"""
"AGEGR2","""Pooled Age Group 2"""
"AGEGR3","""Pooled Age Group 3"""
"AGEU","""Age Units"""
"ANCH1DT","""Anchor Date 1"""
"AP01EDT","""Period 01 End Date"""
"AP01EDTF","""Period 01 End Date Imput. Flag"""
"AP01EDTM","""Period 01 End Datetime"""
"AP01ETMF","""Period 01 End Time Imput. Flag"""
"AP01SDT","""Period 01 Start Date"""
"AP01SDTF","""Period 01 Start Date Imput. Flag"""
"AP01SDTM","""Period 01 Start Datetime"""
"AP01STMF","""Period 01 Start Time Imput. Flag"""
"ARM","""Description of Planned Arm"""
"ARMCD","""Planned Arm Code"""
"BRTHDT","""Imputed Birth Date"""
"BRTHDTC","""Date/Time of Birth"""
"BRTHDTF","""Imputed Birth Date Flag"""
"COUNTRY","""Country"""
"CRACE1","""Race as Collected 1"""
"DCP01RS","""Reason for Discont from Period 01"""
"DCP01RSP","""Reason Spec for Discont from Period 01"""
"DCSREAS","""Reason for Discontinuation from Study"""
"DCSREASP","""Reason Spec for Discont from Study"""
"DMDTC","""Date/Time of Collection"""
"DMDY","""Study Day of Collection"""
"DTHADY","""Relative Day of Death"""
"DTHCAT","""Cause of Death Category"""
"DTHCAUS","""Cause of Death"""
"DTHDOM","""Source Domain for Death"""
"DTHDT","""Date of Death"""
"DTHDTC","""Date/Time of Death"""
"DTHFL","""Subject Death Flag"""
"DTHSEQ","""Source Sequence Number for Death"""
"ENRLDT","""Date of Enrollment"""
"EOSDT","""End of Study Date"""
"EOSDY","""End of Study Relative Day"""
"EOSRDY","""End of Study Day Rel to Randomization"""
"EOSSTT","""End of Study Status"""
"EOTSTT","""End of Treatment Status"""
"ETHNIC","""Ethnicity"""
"ETHNIC1","""Ethnicity 1"""
"FASFL","""Full Analysis Set Population Flag"""
"INVID","""Investigator Identifier"""
"INVNAM","""Investigator Name"""
"LDDTHELD","""Elapsed Days from Last Dose to Death"""
"RACE","""Race"""
"RACE1","""Race 1"""
"RANDDT","""Date of Randomization"""
"RFENDTC","""Subject Reference End Date/Time"""
"RFICDT","""Date of Informed Consent"""
"RFICDTC","""Date/Time of Informed Consent"""
"RFPENDTC","""Date/Time of End of Participation"""
"RFSTDTC","""Subject Reference Start Date/Time"""
"RFXENDTC","""Date/Time of Last Study Treatment"""
"RFXSTDTC","""Date/Time of First Study Treatment"""
"SAFFL","""Safety Population Flag"""
"SEX","""Sex"""
"SITEID","""Study Site Identifier"""
"STUDYID","""Study Identifier"""
"SUBJID","""Subject Identifier for the Study"""
"TR01EDT","""Date of Last Exposure in Period 01"""
"TR01EDTM","""Datetime of Last Exposure in Period 01"""
"TR01SDT","""Date of First Exposure in Period 01"""
"TR01SDTM","""Datetime of First Exposure in Period 01"""
"TRT01A","""Actual Treatment for Period 01"""
"TRT01P","""Planned Treatment for Period 01"""
"TRTDURD","""Total Treatment Duration (Days)"""
"TRTEDT","""Date of Last Exposure to Treatment"""
"TRTEDTM","""Datetime of Last Exposure to Treatment"""
"TRTSDT","""Date of First Exposure to Treatment"""
"TRTSDTM","""Datetime of First Exposure to Treatment"""
"USUBJID","""Unique Subject Identifier"""
"AAGE","""Analysis Age"""
"AAGEU","""Analysis Age Unit"""
"ADT","""Analysis Date"""
"ADTF","""Analysis Date Imputation Flag"""
"ADTM","""Analysis Datetime"""
"AGE","""Age"""
"AGEGR1","""Pooled Age Group 1"""
"AGEGR2","""Pooled Age Group 2"""
"AGEGR3","""Pooled Age Group 3"""
"AGEU","""Age Units"""
"AP01EDT","""Period 01 End Date"""
"AP01EDTM","""Period 01 End Datetime"""
"AP01SDT","""Period 01 Start Date"""
"AP01SDTM","""Period 01 Start Datetime"""
"APERIOD","""Period"""
"APERIODC","""Period (C)"""
"ASEQ","""Analysis Sequence Number"""
"ATMF","""Analysis Time Imputation Flag"""
"AVAL","""Analysis Value"""
"AVALC","""Analysis Value (C)"""
"AVALCAT1","""Analysis Value Category 1"""
"AVALU","""Analysis Value Unit"""
"AVISIT","""Analysis Visit"""
"AVISITN","""Analysis Visit (N)"""
"COUNTRY","""Country"""
"ETHNIC","""Ethnicity"""
"FASFL","""Full Analysis Set Population Flag"""
"PARAM","""Parameter"""
"PARAMCD","""Parameter Code"""
"PARCAT1","""Parameter Category 1"""
"RACE","""Race"""
"SAFFL","""Safety Population Flag"""
"SEX","""Sex"""
"SITEID","""Study Site Identifier"""
"SRCDOM","""Source Data"""
"SRCSEL","""Source Selection"""
"SRCSEQ","""Source Sequence Number"""
"SRCVAR","""Source Variable"""
"STUDYID","""Study Identifier"""
"SUBJID","""Subject Identifier for the Study"""
"TRT01A","""Actual Treatment for Period 01"""
"TRT01P","""Planned Treatment for Period 01"""
"TRTEDT","""Date of Last Exposure to Treatment"""
"TRTEDTM","""Datetime of Last Exposure to Treatment"""
"TRTSDT","""Date of First Exposure to Treatment"""
"TRTSDTM","""Datetime of First Exposure to Treatment"""
"USUBJID","""Unique Subject Identifier"""
"A1HI","""Analysis Range 1 Upper Limit (Marked)"""
"A1LO","""Analysis Range 1 Lower Limit (Marked)"""
"AAGE","""Analysis Age"""
"AAGEU","""Analysis Age Unit"""
"ABLFL","""Baseline Record Flag"""
"ADT","""Analysis Date"""
"ADTF","""Analysis Date Imputation Flag"""
"ADTM","""Analysis Datetime"""
"ADY","""Analysis Relative Day"""
"AGE","""Age"""
"AGEGR1","""Pooled Age Group 1"""
"AGEGR2","""Pooled Age Group 2"""
"AGEGR3","""Pooled Age Group 3"""
"AGEU","""Age Units"""
"ANL01FL","""Analysis Flag 01 Baseline Post-Baseline"""
"ANRHI","""Analysis Normal Range Upper Limit"""
"ANRIND","""Analysis Reference Range Indicator"""
"ANRLO","""Analysis Normal Range Lower Limit"""
"AP01EDT","""Period 01 End Date"""
"AP01EDTM","""Period 01 End Datetime"""
"AP01SDT","""Period 01 Start Date"""
"AP01SDTM","""Period 01 Start Datetime"""
"APERIOD","""Period"""
"APERIODC","""Period (C)"""
"ASEQ","""Analysis Sequence Number"""
"ASPID","""Analysis Sponsor Identifier"""
"ATMF","""Analysis Time Imputation Flag"""
"ATPT","""Analysis Timepoint"""
"ATPTN","""Analysis Timepoint (N)"""
"AVAL","""Analysis Value"""
"AVALC","""Analysis Value (C)"""
"AVALU","""Analysis Value Unit"""
"AVISIT","""Analysis Visit"""
"AVISITN","""Analysis Visit (N)"""
"BASE","""Baseline Value"""
"BASETYPE","""Baseline Type"""
"BNRIND","""Baseline Reference Range Indicator"""
"CHG","""Change from Baseline"""
"COUNTRY","""Country"""
"DOMAIN","""Domain Abbreviation"""
"DTYPE","""Derivation Type"""
"EPOCH","""Epoch"""
"ETHNIC","""Ethnicity"""
"FASFL","""Full Analysis Set Population Flag"""
"LAST01FL","""Last Observation in Window Flag 01"""
"ONTRTFL","""On Treatment Record Flag"""
"PARAM","""Parameter"""
"PARAMCD","""Parameter Code"""
"PCHG","""Percent Change from Baseline"""
"RACE","""Race"""
"SAFFL","""Safety Population Flag"""
"SCRNID","""Screening Number"""
"SEX","""Sex"""
"SITEID","""Study Site Identifier"""
"STUDYID","""Study Identifier"""
"SUBJID","""Subject Identifier for the Study"""
"TRT01A","""Actual Treatment for Period 01"""
"TRT01P","""Planned Treatment for Period 01"""
"TRTA","""Actual Treatment"""
"TRTEDT","""Date of Last Exposure to Treatment"""
"TRTEDTM","""Datetime of Last Exposure to Treatment"""
"TRTP","""Planned Treatment"""
"TRTSDT","""Date of First Exposure to Treatment"""
"TRTSDTM","""Datetime of First Exposure to Treatment"""
"USUBJID","""Unique Subject Identifier"""
"VISIT","""Visit Name"""
"VISITDY","""Planned Study Day of Visit"""
"VISITNUM","""Visit Number"""
"VSBLFL","""Baseline Flag"""
"VSCAT","""Category for Vital Signs"""
"VSDTC","""Date/Time of Measurements"""
"VSDY","""Study Day of Vital Signs"""
"VSELTM","""Planned Elapsed Time from Time Point Ref"""
"VSN2SCAL","""NEWS2 Oxygen Saturation Scale Used"""
"VSO2SRC","""Oxygen Source"""
"VSORRES","""Result or Finding in Original Units"""
"VSORRESU","""Original Units"""
"VSPOS","""Vital Signs Position of Subject"""
"VSREASND","""Reason Not Performed"""
"VSRFTDTC","""Date/Time of Reference Time Point"""
"VSSEQ","""Sequence Number"""
"VSSPID","""Sponsor-Defined Identifier"""
"VSSTRESC","""Character Result/Finding in Std Format"""
"VSSTRESN","""Numeric Result/Finding in Standard Units"""
"VSSTRESU","""Standard Units"""
"VSTEST","""Vital Signs Test Name"""
"VSTESTCD","""Vital Signs Test Short Name"""
"VSTPT","""Planned Time Point Name"""
"VSTPTNUM","""Planned Time Point Number"""
"VSTPTREF","""Time Point Reference"""
"AEACN","""Action Taken with Study Treatment"""
"AEACNOT1","""Other Action Taken 1"""
"AEACNOT2","""Other Action Taken 2"""
"AEACNOTH","""Other Action Taken"""
"AEASOD","""Accidental Overdose?"""
"AEBDSYCD","""Body System or Organ Class Code"""
"AEBODSYS","""Body System or Organ Class"""
"AECAT","""Category for Adverse Event"""
"AECONCST","""Corticosteroid Medications Given for AE"""
"AECONTRT","""Concomitant or Additional Trtmnt Given"""
"AEDECOD","""Dictionary-Derived Term"""
"AEDLEYN","""Dose Limiting Adverse Event?"""
"AEDTHDTC","""Death Date"""
"AEENDTC","""End Date/Time of Adverse Event"""
"AEENDY","""Study Day of End of Adverse Event"""
"AEENRTPT","""End Relative to Reference Time Point"""
"AEENTPT","""End Reference Time Point"""
"AEEXP","""Expedited Adverse Event"""
"AEGRPID","""Group ID"""
"AEHLGT","""High Level Group Term"""
"AEHLGTCD","""High Level Group Term Code"""
"AEHLT","""High Level Term"""
"AEHLTCD","""High Level Term Code"""
"AEITOXGR","""Initial Toxicity Grade"""
"AELLT","""Lowest Level Term"""
"AELLTCD","""Lowest Level Term Code"""
"AEMEDERR","""Medication Error?"""
"AEMODIFY","""Modified Reported Term"""
"AEOCCRF","""Event Occurrence Reference Time Point"""
"AEOUT","""Outcome of Adverse Event"""
"AEPATERM","""Pathogen Term"""
"AEPATH","""Pathogen Type"""
"AEPATT","""Pattern of Adverse Event"""
"AEPTCD","""Preferred Term Code"""
"AEREL","""Causality"""
"AERELNS1","""Relationship to Non-Study Treatment 1"""
"AERELNS2","""Relationship to Non-Study Treatment 2"""
"AERELNS3","""Relationship to Non-Study Treatment 3"""
"AERELNS4","""Relationship to Non-Study Treatment 4"""
"AERELNS5","""Relationship to Non-Study Treatment 5"""
"AERELNS6","""Relationship to Non-Study Treatment 6"""
"AERELNST","""Relationship to Non-Study Treatment"""
"AESCAT","""Subcategory for Adverse Event"""
"AESCONG","""Congenital Anomaly or Birth Defect"""
"AESDISAB","""Persist or Signif Disability/Incapacity"""
"AESDTH","""Results in Death"""
"AESEQ","""Sequence Number"""
"AESER","""Serious Event"""
"AESERS","""Serious Event Sponsor"""
"AESHOSP","""Requires or Prolongs Hospitalization"""
"AESLIFE","""Is Life Threatening"""
"AESMIE","""Other Medically Important Serious Event"""
"AESOC","""Primary System Organ Class"""
"AESOCCD","""Primary System Organ Class Code"""
"AESPID","""Sponsor-Defined Identifier"""
"AESTDTC","""Start Date/Time of Adverse Event"""
"AESTDY","""Study Day of Start of Adverse Event"""
"AESTRTPT","""Start Relative to Reference Time Point"""
"AESTTPT","""Start Reference Time Point"""
"AETERM","""Reported Term for the Adverse Event"""
"AETOXGR","""Standard Toxicity Grade"""
"AETRTEM","""Treatment Emergent Flag"""
"DOMAIN","""Domain Abbreviation"""
"EPOCH","""Epoch"""
"STUDYID","""Study Identifier"""
"USUBJID","""Unique Subject Identifier"""
"BECAT","""Category for Biospecimen Event"""
"BEDECOD","""Dictionary-Derived Term"""
"BEDTC","""Date/Time of Specimen Collection"""
"BEDY","""Study Day of Visit/Collection/Exam"""
"BEENDTC","""End Date/Time of Biospecimen Event"""
"BEENDY","""Study Day of End of Biospecimen Event"""
"BEOCCUR","""Occurrence"""
"BEPRESP","""Pre-specified"""
"BEREFID","""Reference ID"""
"BESCAT","""Subcategory for Biospecimen Event"""
"BESEQ","""Sequence Number"""
"BESPEC","""Specimen Material Type"""
"BESPID","""Sponsor-Defined Identifier"""
"BESTDTC","""Start Date/Time of Biospecimen Event"""
"BESTDY","""Study Day of Start of Biospecimen Event"""
"BETERM","""Reported Term for the Biospecimen Event"""
"BETPT","""Planned Time Point Name"""
"BETPTNUM","""Planned Time Point Number"""
"DOMAIN","""Domain Abbreviation"""
"EPOCH","""Epoch"""
"STUDYID","""Study Identifier"""
"USUBJID","""Unique Subject Identifier"""
"VISIT","""Visit Name"""
"VISITDY","""Planned Study Day of Visit"""
"VISITNUM","""Visit Number"""
"BSBLFL","""Baseline Flag"""
"BSCAT","""Category for Biospecimen Test"""
"BSDTC","""Date/Time of Specimen Collection"""
"BSDY","""Study Day of Specimen Collection"""
"BSELTM","""Planned Elapsed Time from Time Point Ref"""
"BSENDTC","""End Date/Time of Biospecimen Findings"""
"BSENDY","""Study Day of End of Biospecimen Findings"""
"BSORRES","""Result or Finding in Original Units"""
"BSORRESU","""Original Units"""
"BSREFID","""Reference ID"""
"BSRFTDTC","""Date/Time of Reference Time Point"""
"BSSCAT","""Subcategory for Biospecimen Test"""
"BSSEQ","""Sequence Number"""
"BSSPEC","""Specimen Type"""
"BSSPID","""Sponsor-Defined Identifier"""
"BSSTRESC","""Character Result/Finding in Std Format"""
"BSSTRESN","""Numeric Result/Finding in Standard Units"""
"BSSTRESU","""Standard Units"""
"BSTEST","""Biospecimen Test Name"""
"BSTESTCD","""Biospecimen Test Short Name"""
"BSTPT","""Planned Time Point Name"""
"BSTPTNUM","""Planned Time Point Number"""
"BSTPTREF","""Time Point Reference"""
"DOMAIN","""Domain Abbreviation"""
"EPOCH","""Epoch"""
"STUDYID","""Study Identifier"""
"USUBJID","""Unique Subject Identifier"""
"VISIT","""Visit Name"""
"VISITDY","""Planned Study Day of Visit"""
"VISITNUM","""Visit Number"""
"CEBDSYCD","""Body System or Organ Class Code"""
"CEBODSYS","""Body System or Organ Class"""
"CECAT","""Category for Clinical Event"""
"CEDECOD","""Dictionary-Derived Term"""
"CEENDTC","""End Date/Time of Clinical Event"""
"CEENDY","""Study Day of End of Observation"""
"CEGRPID","""Group ID"""
"CEHLGT","""High Level Group Term"""
"CEHLGTCD","""High Level Group Term Code"""
"CEHLT","""High Level Term"""
"CEHLTCD","""High Level Term Code"""
"CEITOXGR","""Initial Toxicity Grade"""
"CELLT","""Lowest Level Term"""
"CELLTCD","""Lowest Level Term Code"""
"CEMODIFY","""Modified Reported Term"""
"CEPTCD","""Preferred Term Code"""
"CESEQ","""Sequence Number"""
"CESER","""Serious Event"""
"CESOC","""Primary System Organ Class"""
"CESOCCD","""Primary System Organ Class Code"""
"CESPID","""Sponsor-Defined Identifier"""
"CESTDTC","""Start Date/Time of Clinical Event"""
"CESTDY","""Study Day of Start of Observation"""
"CETERM","""Reported Term for the Clinical Event"""
"CETOXGR","""Toxicity Grade"""
"DOMAIN","""Domain Abbreviation"""
"EPOCH","""Epoch"""
"STUDYID","""Study Identifier"""
"USUBJID","""Unique Subject Identifier"""
"CMCAT","""Category for Medication"""
"CMCLAS","""Medication Class"""
"CMCLASCD","""Medication Class Code"""
"CMDECOD","""Standardized Medication Name"""
"CMDECOD1","""Standardized Medication Name 1"""
"CMDECOD2","""Standardized Medication Name 2"""
"CMDECOD3","""Standardized Medication Name 3"""
"CMDECOD4","""Standardized Medication Name 4"""
"CMDECOD5","""Standardized Medication Name 5"""
"CMDECOD6","""Standardized Medication Name 6"""
"CMDECOD7","""Standardized Medication Name 7"""
"CMDOSE","""Dose per Administration"""
"CMDOSFRM","""Dose Form"""
"CMDOSFRQ","""Dosing Frequency per Interval"""
"CMDOSU","""Dose Units"""
"CMDRG","""Synonym Medication Name"""
"CMDRG1","""Synonym Medication Name 1"""
"CMDRG2","""Synonym Medication Name 2"""
"CMDRG3","""Synonym Medication Name 3"""
"CMDRG4","""Synonym Medication Name 4"""
"CMDRG5","""Synonym Medication Name 5"""
"CMDRG6","""Synonym Medication Name 6"""
"CMDRG7","""Synonym Medication Name 7"""
"CMDRGCD","""Synonym Medication Name Code"""
"CMENDTC","""End Date/Time of Medication"""
"CMENDY","""Study Day of End of Medication"""
"CMENRTPT","""End Relative to Reference Time Point"""
"CMENTPT","""End Reference Time Point"""
"CMGRPID","""Group ID"""
"CMINDC","""Indication"""
"CMMODIF1","""Modified Reported Name 1"""
"CMMODIF2","""Modified Reported Name 2"""
"CMMODIF3","""Modified Reported Name 3"""
"CMMODIF4","""Modified Reported Name 4"""
"CMMODIF5","""Modified Reported Name 5"""
"CMMODIF6","""Modified Reported Name 6"""
"CMMODIF7","""Modified Reported Name 7"""
"CMMODIFY","""Modified Reported Name"""
"CMPNCD","""Standardized Medication Name Code"""
"CMPROPH","""Given for prophylaxis"""
"CMREFID","""Reference ID"""
"CMROUTE","""Route of Administration"""
"CMSEQ","""Sequence Number"""
"CMSPID","""Sponsor-Defined Identifier"""
"CMSTDTC","""Start Date/Time of Medication"""
"CMSTDY","""Study Day of Start of Medication"""
"CMSTRTPT","""Start Relative to Reference Time Point"""
"CMSTTPT","""Start Reference Time Point"""
"CMTRT","""Reported Name of Drug, Med, or Therapy"""
"DOMAIN","""Domain Abbreviation"""
"EPOCH","""Epoch"""
"STUDYID","""Study Identifier"""
"USUBJID","""Unique Subject Identifier"""
"VISIT","""Visit Name"""
"VISITDY","""Planned Study Day of Visit"""
"VISITNUM","""Visit Number"""
"CODTC","""Date/Time of Comment"""
"CODY","""Study Day of Visit/Collection/Exam"""
"COEVAL","""Evaluator"""
"COREF","""Comment Reference"""
"COSEQ","""Sequence Number"""
"COVAL","""Comment"""
"DOMAIN","""Domain Abbreviation"""
"IDVAR","""Identifying Variable"""
"IDVARVAL","""Identifying Variable Value"""
"RDOMAIN","""Related Domain Abbreviation"""
"STUDYID","""Study Identifier"""
"USUBJID","""Unique Subject Identifier"""
"ACTARM","""Description of Actual Arm"""
"ACTARMCD","""Actual Arm Code"""
"AGE","""Age"""
"AGEU","""Age Units"""
"ARM","""Description of Planned Arm"""
"ARMCD","""Planned Arm Code"""
"BRTHDTC","""Date/Time of Birth"""
"COUNTRY","""Country"""
"CRACE","""Race as Collected"""
"CRACE1","""Race as Collected 1"""
"CRACE10","""Race as Collected 10"""
"CRACE2","""Race as Collected 2"""
"CRACE3","""Race as Collected 3"""
"CRACE4","""Race as Collected 4"""
"CRACE5","""Race as Collected 5"""
"CRACE6","""Race as Collected 6"""
"CRACE7","""Race as Collected 7"""
"CRACE8","""Race as Collected 8"""
"CRACE9","""Race as Collected 9"""
"DMDTC","""Date/Time of Collection"""
"DMDY","""Study Day of Collection"""
"DOMAIN","""Domain Abbreviation"""
"DTHDTC","""Date/Time of Death"""
"DTHFL","""Subject Death Flag"""
"ETHNIC","""Ethnicity"""
"ETHNIC1","""Ethnicity 1"""
"ETHNIC2","""Ethnicity 2"""
"ETHNIC3","""Ethnicity 3"""
"ETHNIC4","""Ethnicity 4"""
"ETHNIC5","""Ethnicity 5"""
"INVID","""Investigator Identifier"""
"INVNAM","""Investigator Name"""
"RACE","""Race"""
"RACE1","""Race 1"""
"RACE2","""Race 2"""
"RACE3","""Race 3"""
"RACE4","""Race 4"""
"RACE5","""Race 5"""
"RACE6","""Race 6"""
"RFENDTC","""Subject Reference End Date/Time"""
"RFICDTC","""Date/Time of Informed Consent"""
"RFPENDTC","""Date/Time of End of Participation"""
"RFSTDTC","""Subject Reference Start Date/Time"""
"RFXENDTC","""Date/Time of Last Study Treatment"""
"RFXSTDTC","""Date/Time of First Study Treatment"""
"SEX","""Sex"""
"SITEID","""Study Site Identifier"""
"STUDYID","""Study Identifier"""
"SUBJID","""Subject Identifier for the Study"""
"USUBJID","""Unique Subject Identifier"""
"DOMAIN","""Domain Abbreviation"""
"DSCAT","""Category for Disposition Event"""
"DSDECOD","""Standardized Disposition Term"""
"DSDTC","""Date/Time of Collection"""
"DSDY","""Study Day of Visit/Collection/Exam"""
"DSPERIOD","""Next Period of Study"""
"DSREFID","""Reference ID"""
"DSSCAT","""Subcategory for Disposition Event"""
"DSSEQ","""Sequence Number"""
"DSSPID","""Sponsor-Defined Identifier"""
"DSSTDTC","""Start Date/Time of Disposition Event"""
"DSSTDY","""Study Day of Start of Disposition Event"""
"DSTERM","""Reported Term for the Disposition Event"""
"EPOCH","""Epoch"""
"STUDYID","""Study Identifier"""
"USUBJID","""Unique Subject Identifier"""
"DOMAIN","""Domain Abbreviation"""
"DVCAT","""Category for Protocol Deviation"""
"DVDECOD","""Protocol Deviation Coded Term"""
"DVEDREAS","""Emergency Disruption Related Reason"""
"DVEDRELI","""Emergency Disruption Related Indicator"""
"DVEDRETP","""Emergency Disruption Related Type"""
"DVEPRELI","""Epi/Pandemic Related Indicator"""
"DVREAS","""Reason for Deviation"""
"DVREFID","""Reference ID"""
"DVSEQ","""Sequence Number"""
"DVSPID","""Sponsor-Defined Identifier"""
"DVSTDTC","""Start Date/Time of Deviation"""
"DVSTDY","""Study Day of Start of Deviation"""
"DVTERM","""Protocol Deviation Term"""
"EPOCH","""Epoch"""
"STUDYID","""Study Identifier"""
"USUBJID","""Unique Subject Identifier"""
"DOMAIN","""Domain Abbreviation"""
"ECDOSDEL","""Reason for Study Drug Dose Delay"""
"ECDOSE","""Dose"""
"ECDOSFRM","""Dose Form"""
"ECDOSFRQ","""Dosing Frequency per Interval"""
"ECDOSU","""Dose Units"""
"ECENDTC","""End Date/Time of Treatment"""
"ECENDY","""Study Day of End of Treatment"""
"ECLAT","""Laterality"""
"ECLNKGRP","""Link Group ID"""
"ECLNKID","""Link ID"""
"ECLOC","""Location of Dose Administration"""
"ECMOOD","""Mood"""
"ECOCCUR","""Occurrence"""
"ECPRESP","""Pre-Specified"""
"ECPSTRG","""Pharmaceutical Strength"""
"ECPSTRGU","""Pharmaceutical Strength Units"""
"ECREASOC","""Reason for Study Drug Not Administered"""
"ECROUTE","""Route of Administration"""
"ECSEQ","""Sequence Number"""
"ECSPID","""Sponsor-Defined Identifier"""
"ECSTDTC","""Start Date/Time of Treatment"""
"ECSTDY","""Study Day of Start of Treatment"""
"ECTRT","""Name of Treatment"""
"EPOCH","""Epoch"""
"STUDYID","""Study Identifier"""
"USUBJID","""Unique Subject Identifier"""
"VISIT","""Visit Name"""
"VISITDY","""Planned Study Day of Visit"""
"VISITNUM","""Visit Number"""
"DOMAIN","""Domain Abbreviation"""
"EGBLFL","""Baseline Flag"""
"EGCLSIG","""Clinically Significant"""
"EGDTC","""Date/Time of ECG"""
"EGDY","""Study Day of ECG"""
"EGMETHOD","""Method of ECG Test"""
"EGORRES","""Result or Finding in Original Units"""
"EGORRESU","""Original Units"""
"EGPOS","""ECG Position of Subject"""
"EGRESTYN","""ECG Resting Status of Subject"""
"EGSEQ","""Sequence Number"""
"EGSPID","""Sponsor-Defined Identifier"""
"EGSTAT","""Completion Status"""
"EGSTRESC","""Character Result/Finding in Std Format"""
"EGSTRESN","""Numeric Result/Finding in Standard Units"""
"EGSTRESU","""Standard Units"""
"EGTEST","""ECG Test or Examination Name"""
"EGTESTCD","""ECG Test or Examination Short Name"""
"EGTPT","""Planned Time Point Name"""
"EGTPTNUM","""Planned Time Point Number"""
"EPOCH","""Epoch"""
"STUDYID","""Study Identifier"""
"USUBJID","""Unique Subject Identifier"""
"VISIT","""Visit Name"""
"VISITDY","""Planned Study Day of Visit"""
"VISITNUM","""Visit Number"""
"DOMAIN","""Domain Abbreviation"""
"EPOCH","""Epoch"""
"EXADJ","""Reason for Dose Adjustment"""
"EXDOSE","""Dose"""
"EXDOSFRM","""Dose Form"""
"EXDOSFRQ","""Dosing Frequency per Interval"""
"EXDOSU","""Dose Units"""
"EXENDTC","""End Date/Time of Treatment"""
"EXENDY","""Study Day of End of Treatment"""
"EXLAT","""Laterality"""
"EXLNKGRP","""Link Group ID"""
"EXLNKID","""Link ID"""
"EXLOC","""Location of Dose Administration"""
"EXROUTE","""Route of Administration"""
"EXSEQ","""Sequence Number"""
"EXSPID","""Sponsor-Defined Identifier"""
"EXSTDTC","""Start Date/Time of Treatment"""
"EXSTDY","""Study Day of Start of Treatment"""
"EXTRT","""Name of Treatment"""
"STUDYID","""Study Identifier"""
"USUBJID","""Unique Subject Identifier"""
"VISIT","""Visit Name"""
"VISITDY","""Planned Study Day of Visit"""
"VISITNUM","""Visit Number"""
"DOMAIN","""Domain Abbreviation"""
"EPOCH","""Epoch"""
"FABLFL","""Baseline Flag"""
"FACAT","""Category for Findings About"""
"FADTC","""Date/Time of Collection"""
"FADY","""Study Day of Collection"""
"FAECADJ","""Reason for Dose Modification"""
"FAENDTC","""End Date/Time of Observation"""
"FAENDY","""Study Day of End of Observation"""
"FAGRPID","""Group ID"""
"FALNKID","""Link ID"""
"FAOBJ","""Object of the Observation"""
"FAORRES","""Result or Finding in Original Units"""
"FAORRESU","""Original Units"""
"FAREFID","""Reference ID"""
"FASEQ","""Sequence Number"""
"FASPID","""Sponsor-Defined Identifier"""
"FASTDTC","""Start Date/Time of Observation"""
"FASTDY","""Study Day of Start of Observation"""
"FASTRESC","""Character Result/Finding in Std Format"""
"FASTRESN","""Numeric Result/Finding in Standard Units"""
"FASTRESU","""Standard Units"""
"FATEST","""Findings About Test Name"""
"FATESTCD","""Findings About Test Short Name"""
"STUDYID","""Study Identifier"""
"USUBJID","""Unique Subject Identifier"""
"VISIT","""Visit Name"""
"VISITDY","""Planned Study Day of Visit"""
"VISITNUM","""Visit Number"""
"DOMAIN","""Domain Abbreviation"""
"EPOCH","""Epoch"""
"HOCAT","""Category for Healthcare Encounter"""
"HOENDTC","""End Date/Time of Healthcare Encounter"""
"HOENDY","""Study Day of End of Healthcare Encounter"""
"HOGRPID","""Group ID"""
"HOOCCUR","""Healthcare Encounter Occurrence"""
"HOPRESP","""Pre-Specified Healthcare Encounter"""
